Participante,Ordem,Classificação,Tempo Gasto
bc2584302fffead698e1809107a60040,77,negativa,2.58
bc2584302fffead698e1809107a60040,78,negativa,3.0
bc2584302fffead698e1809107a60040,79,positiva,8.99
bc2584302fffead698e1809107a60040,80,positiva,3.57
bc2584302fffead698e1809107a60040,81,neutra,8.08
bc2584302fffead698e1809107a60040,82,neutra,4.42
bc2584302fffead698e1809107a60040,83,positiva,5.71
bc2584302fffead698e1809107a60040,84,neutra,11.06
bc2584302fffead698e1809107a60040,85,neutra,4.55
bc2584302fffead698e1809107a60040,86,neutra,1.87
bc2584302fffead698e1809107a60040,87,positiva,5.22
bc2584302fffead698e1809107a60040,88,positiva,5.6
bc2584302fffead698e1809107a60040,89,negativa,2.74
bc2584302fffead698e1809107a60040,90,positiva,6.63
bc2584302fffead698e1809107a60040,91,positiva,1.84
bc2584302fffead698e1809107a60040,92,neutra,3.98
bc2584302fffead698e1809107a60040,93,positiva,3.07
bc2584302fffead698e1809107a60040,94,positiva,2.91
bc2584302fffead698e1809107a60040,95,negativa,2.55
bc2584302fffead698e1809107a60040,96,negativa,6.25
bc2584302fffead698e1809107a60040,97,positiva,1.61
bc2584302fffead698e1809107a60040,98,negativa,8.61
bc2584302fffead698e1809107a60040,99,positiva,2.88
bc2584302fffead698e1809107a60040,100,negativa,18.91
bc2584302fffead698e1809107a60040,101,positiva,5.76
bc2584302fffead698e1809107a60040,102,positiva,2.6
bc2584302fffead698e1809107a60040,103,neutra,2.46
bc2584302fffead698e1809107a60040,104,positiva,2.97
bc2584302fffead698e1809107a60040,105,negativa,6.54
bc2584302fffead698e1809107a60040,106,positiva,2.04
bc2584302fffead698e1809107a60040,107,positiva,5.17
bc2584302fffead698e1809107a60040,108,negativa,4.2
bc2584302fffead698e1809107a60040,109,negativa,3.7
bc2584302fffead698e1809107a60040,110,negativa,4.38
bc2584302fffead698e1809107a60040,111,neutra,12.41
bc2584302fffead698e1809107a60040,112,negativa,1.86
bc2584302fffead698e1809107a60040,113,positiva,5.03
bc2584302fffead698e1809107a60040,114,negativa,63.86
bc2584302fffead698e1809107a60040,115,negativa,7.06
bc2584302fffead698e1809107a60040,116,negativa,3.14
bc2584302fffead698e1809107a60040,117,positiva,2.27
bc2584302fffead698e1809107a60040,118,positiva,6.66
bc2584302fffead698e1809107a60040,119,positiva,3.38
bc2584302fffead698e1809107a60040,120,neutra,3.46
bc2584302fffead698e1809107a60040,121,positiva,1.77
bc2584302fffead698e1809107a60040,122,neutra,2.82
bc2584302fffead698e1809107a60040,123,positiva,1.83
bc2584302fffead698e1809107a60040,124,positiva,2.81
bc2584302fffead698e1809107a60040,125,positiva,1.18
bc2584302fffead698e1809107a60040,126,negativa,2.75
bc2584302fffead698e1809107a60040,127,positiva,2.37
bc2584302fffead698e1809107a60040,128,positiva,3.05
bc2584302fffead698e1809107a60040,129,neutra,3.06
bc2584302fffead698e1809107a60040,130,positiva,4.5
bc2584302fffead698e1809107a60040,131,neutra,3.56
bc2584302fffead698e1809107a60040,132,neutra,2.99
bc2584302fffead698e1809107a60040,133,neutra,5.32
bc2584302fffead698e1809107a60040,134,negativa,5.17
bc2584302fffead698e1809107a60040,135,positiva,2.06
bc2584302fffead698e1809107a60040,136,positiva,6.91
bc2584302fffead698e1809107a60040,137,positiva,2.1
bc2584302fffead698e1809107a60040,138,positiva,1.9
bc2584302fffead698e1809107a60040,139,neutra,4.39
bc2584302fffead698e1809107a60040,140,positiva,1.68
bc2584302fffead698e1809107a60040,141,neutra,3.74
bc2584302fffead698e1809107a60040,142,neutra,2.89
bc2584302fffead698e1809107a60040,143,positiva,2.65
bc2584302fffead698e1809107a60040,144,positiva,4.67
bc2584302fffead698e1809107a60040,145,positiva,1.9
bc2584302fffead698e1809107a60040,146,neutra,3.13
bc2584302fffead698e1809107a60040,147,negativa,2.58
bc2584302fffead698e1809107a60040,148,positiva,2.85
bc2584302fffead698e1809107a60040,149,positiva,4.69
bc2584302fffead698e1809107a60040,150,neutra,5.9
77da0ef6622c18e6a245f2609d5fc04b,1,neutra,20.42
77da0ef6622c18e6a245f2609d5fc04b,2,positiva,10.85
77da0ef6622c18e6a245f2609d5fc04b,3,positiva,13.77
77da0ef6622c18e6a245f2609d5fc04b,4,neutra,7.73
77da0ef6622c18e6a245f2609d5fc04b,5,neutra,11.09
77da0ef6622c18e6a245f2609d5fc04b,6,negativa,10.87
77da0ef6622c18e6a245f2609d5fc04b,7,neutra,6.56
77da0ef6622c18e6a245f2609d5fc04b,8,positiva,5.81
77da0ef6622c18e6a245f2609d5fc04b,9,neutra,6.88
77da0ef6622c18e6a245f2609d5fc04b,10,neutra,7.38
77da0ef6622c18e6a245f2609d5fc04b,11,negativa,32.36
77da0ef6622c18e6a245f2609d5fc04b,12,positiva,23.33
77da0ef6622c18e6a245f2609d5fc04b,13,negativa,3.97
77da0ef6622c18e6a245f2609d5fc04b,14,negativa,7.01
77da0ef6622c18e6a245f2609d5fc04b,15,neutra,12.95
77da0ef6622c18e6a245f2609d5fc04b,16,neutra,8.73
